"cname","al_ethnic2000","al_language2000","al_religion2000","wdi_gdpcapgr","pwt_hci","wdi_pop","wdi_mortinf","vdem_corr","ht_region","log_pop"
"Korea (the Republic of)",0.00199799999999972,0.00211320000000004,0.6603648,2.92034561376229,3.83590793609619,51672569,2.4,0.125,6,17.7604376184003
"Kuwait",0.6604,0.3444357,0.674472,1.43711284054184,2.28043651580811,4589643,7.6,0.314,3,15.3393128012341
"Kyrgyzstan",0.675182,0.5949289,0.4469888,7.03042869604123,3.51862478256226,6975220,15.1,0.822,1,15.7578744263929
"Lao People's Democratic Republic (the)",0.513862,0.6382066,0.5452628,1.2697005231296,1.99372756481171,7559007,36.4,0.742,7,15.8382503903223
"Lebanon",0.1314,0.1312225,0.7886458,-1.07782192621244,NA,5744489,15.1,0.775,3,15.5637515183986
"Lesotho",0.255,0.2543454,0.721111,1.28745564005285,2.06925773620605,2286110,57.6,0.517,4,14.6423622411643
"Latvia",0.586668,0.5795139,0.555566,2.18545852350196,3.19528985023499,1879383,2.7,0.087,1,14.4464540894502
"Liberia",0.908388,0.9037815,0.4883031,2.585058275666,2.01191449165344,5373294,53.9,0.865,4,15.4969516862486
"Libya",0.79203,0.0757887,0.0569851,-9.4249020699207,NA,7223805,8.4,0.784,3,15.7928923803591
"Liechtenstein",0.57261,0.2246094,0.3342515,NA,NA,39493,NA,NA,5,10.5838787199949
"Lithuania",0.32227,0.3219138,0.4141271,1.695285500032,3.38969135284424,2831639,2.9,0.103,1,14.8563662539191
"Luxembourg",0.530238,0.6439541,0.0910954,-3.07197647023996,3.42416930198669,653103,2,0.027,5,13.3894901293575
"Madagascar",0.8791,0.020432,0.5190879,1.6026818003365,1.71304893493652,30437261,44.7,0.827,4,17.2311781066202
"Malawi",0.6744,0.6023255,0.8191763,-1.63749399398691,2.11809349060059,20568728,30.5,0.696,4,16.8392824220895
"Malaysia",0.587962,0.5969522,0.6656884,7.73357563754043,3.16371178627014,34695493,6.7,0.365,7,17.3621203517551
"Maldives",NA,NA,NA,12.0990628027296,2.68157649040222,524106,5.3,0.47,8,13.1694492329216
"Mali",0.6906,0.838758,0.1819978,0.628812173551424,1.45184659957886,23072640,59,0.828,4,16.9541580579331
"Malta",0.0414322107443801,0.090691,0.1223239,-0.0182292034453723,3.4607367515564,531113,5,0.194,5,13.1827300836105
"Mauritania",0.615,0.3259653,0.0148691,3.71273074709404,1.83026969432831,4875637,32,0.833,4,15.3997613205446
"Mauritius",0.4634,0.4546722,0.6384659,9.02116317337462,2.68140149116516,1262523,13.8,0.489,4,14.0486226577875
"Mexico",0.5418,0.151119,0.1795571,2.93163505458958,2.83388257026672,128613117,11.1,0.549,2,18.6723193630111
"Monaco",0.6838,0.7304891,0.3046875,10.1116479795959,NA,38931,2.3,NA,5,10.5695461274053
